filename,role,company,salary,application-date,interview-date,end-date,status,source-url
"AppExpert Project Lead Smart BMS 1","Project Lead Smart BMS","AppExpert","","2025-06-22","","2025-06-25","rejected","https://www.linkedin.com/jobs/view/4253741210/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=18UY4W3wOdgXQ1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mcbu6pxg~bl-null-null&eid=55irmn-mcbu6pxg-bl&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZWVmYjA4N2M2ZDI0OTliYWY4ZDYxNzljMjA1NmI0NzUyNWJmMWYzZGZhYTgxNmJlNWNjZTI2M2EyNzgwZTA3ZmQ1OTcxMmVhNGVkM2U3MWQxMjdhMTJmZTcsMSwx"
"Breuninger Data Product Owner","Data Product Owner","Breuninger","","2025-08-09","","2025-09-11","rejected","https://jobs.smartrecruiters.com/EBreuningerGmbHCo/744000075169136-data-product-owner-m-w-d-remote-moglich"
"Blacktide Partners Project Manager Electrical Engineering","Project Manager Electrical Engineering","Blacktide Partners","","2025-06-30","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4258441310/?trackingId=Qz2Ztj3wSIy0ADzzxshpdA%3D%3D&refId=QiKBAbyZSAWdWdsym4LTCQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1L-QNGuxA9obQ1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mcj2noey~qa-null-null&eid=55irmn-mcj2noey-qa&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZmU1YmM4OWNkZDE0ODljYTg4YzYxNzljMjA1NmI0NzUyNWJmMWYzZGY4Zjk5NTFmYWMwZDU1MDk5ZDczZTVhZWQ5NzA3OGU5YzIyMDNhZDI0OTFhOGJmMmEsMSwx"
"Bundesnotarkammer Product Analytics Manager 1","Product Analytics Manager","Bundesnotarkammer","","2026-04-14","","","waiting","https://www.stepstone.de/stellenangebote--Product-Analytics-Manager-w-m-d-Berlin-Bundesnotarkammer--13868140-inline.html"
"Brightsmith Grid Connection Consultant","Grid Connection Consultant","Brightsmith","","2025-11-03","","2026-03-30","ghosted","https://www.linkedin.com/jobs/view/4320221414"
"Brightsmith Development Manager","Development Manager","Brightsmith","","2025-08-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4280051858/?trackingId=c%2FSA3Md4TCyaQBEMZNtdnw%3D%3D&refId=E3Bj3w%2FZT0Ws78QWMwrDwg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1QKyBpA8l8aHU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdyg6j4x~q0-null-null&eid=55irmn-mdyg6j4x-q0&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWU0YmQ4ZGM2ZDA0ODk4YTg4ODYxNzljMjA1NmI0NzUyNWJmMWYzZGY5Mzk5NzdiNmM2ZjU2NDlmZDVkODE2MWMwN2IwNjlmYjQxNGIwNmJkMzc0ZTA1N2QsMSwx"
"Barmer Senior Feature Owner eCare & KI","Senior Feature Owner","Barmer","95000","2026-04-02","","2026-04-10","rejected","https://jobs.barmer.de/index.php?ac=jobad&id=4199"
"Circunomics Product Owner— Battery Analytics & Lifecycle Management Systems","Product Owner— Battery Analytics & Lifecycle Management Systems","Circunomics","","2025-08-20","","2025-09-24","ghosted","https://www.linkedin.com/jobs/view/4282832402/?trackingId=mc5iodO7T%2FK6N6XccMxQCQ%3D%3D&refId=lr%2BEuqKwRZioYmpO8bJjTQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=0XaU_yYZ0PpXU1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body-null-55irmn~medxabww~2u-null-null&eid=55irmn-medxabww-2u&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYmU0YjY4N2NiZDQ0NTk4YWI4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGZhYzlkNGNkNGZjZjI2ZjlhMDNjOGZiMTA1MjdlYTU3NjRmZTIwZDg4OTNkOTEzOTQsMSwx"
"CENDAS Product Owner Team Lead","Product Owner","CENDAS","90000","2026-02-09","","2026-03-18","rejected","https://www.empfehlungsbund.de/jobs/284865/product-owner-saas-strich-team-lead-webapp-m-strich-w-strich-d-full-remote"
"DIS AG System Engineer","System Engineer","DIS AG","","2026-02-17","","","waiting","https://www.linkedin.com/jobs/view/4373566944"
"DeepRec.ai Senior System Architect","Senior System Architect","DeepRec.ai","","2025-05-12","","2026-01-29","ghosted",""
"Capgemini Protfolio Lead BESS","Protfolio Lead BESS","Capgemini","","2025-10-29","","2025-11-03","rejected","https://emp.jobylon.com/jobs/287276-capgemini-engineering-senior-portfolio-lead-battery-energy-storage-systems-bess-wmd/"
"Distribusion Technologies GmbH Technical Project Manager","Technical Project Manager","Distribusion Technologies GmbH","","2025-12-02","","2025-12-04","rejected","https://careers.distribusion.com/o/senior-technical-project-manager-fluent-german-speaker-all-genders"
"Done!Berlin für trawa Project Manager Industriespeicher","Project Manager Industriespeicher","Done!Berlin für trawa","","2025-11-06","","2025-12-10","rejected","https://www.linkedin.com/jobs/view/4315805895/"
"EDF Product Manager BESS","Product Manager BESS","EDF","108000","2025-07-22","","2025-08-08","rejected",""
"ENNOVI Senior Requirements Engineer","Senior Requirements Engineer","ENNOVI","","2025-07-22","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4270227412/?trackingId=2PTw5XlORUOvPXy8GAMypw%3D%3D&refId=l3b%2Bbo1pQyCGqI%2Bhb3Bv%2FQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=303kzsM2ngSXQ1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdeij10u~6l-null-null&eid=55irmn-mdeij10u-6l&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZGU2YmM4OGNiZDI0NDkwYTY4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGZkNDhiNTJkNmNmZTY1MDk5MGQzNzgzZWRjNjU0ZmMxNTNlYTQzMzEwNTNhNTM4MDIsMSwx"
"Cognigy Technical Product Owner","Technical Product Owner","Cognigy","99500","2025-08-06","","2025-09-02","rejected","https://careers.cognigy.com/_/j/880F1D6404/"
"Dunia PO (spont. application)","PO (spont. application)","Dunia","95000","2025-08-15","","2025-09-26","ghosted","https://www.linkedin.com/jobs/view/4282898700"
"EarthStream Global Battery Expert DACH","Battery Expert DACH","EarthStream Global","","2025-11-03","","2026-03-30","ghosted","https://www.linkedin.com/jobs/view/4316611648"
"Ecoturn Elektrovorteil Plattform Migration & Produktentwicklung","Product Owner","Ecoturn GmbH","86000","2026-04-09","","","waiting","https://join.com/companies/elektrovorteil/15960663-product-owner-plattform-migration-und-produktentwicklung-m-w-d"
"Emagine Project Engineering Manager","Project Engineering Manager","Emagine","","2025-09-16","","2025-10-28","ghosted","https://portal.emagine.org/jobs/170371/project-engineering-manager-pem-mwd?utm_source=LinkedIn"
"Ember Energy Analyst","Energy Analyst","Ember","","2025-08-11","","2025-10-02","rejected","https://www.linkedin.com/jobs/view/4275634493"
"Emurgo Web3 Technical Business Analyst","Web3 Technical Business Analyst","Emurgo","","2025-07-31","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4233800709/?trackingId=sEzy1d5rR4qg6th8iAMBwA%3D%3D&refId=yRUOF9GRRt2yBfvZjQ3rUg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=35-SwdEAAL3HU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdrb8r8k~n3-null-null&eid=55irmn-mdrb8r8k-n3&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZGVlYjI4ZWNjZDc0NTlhYWY4ZTYxNzljMjA1NmI0NzUyNWJmMWYzZGZhMzgzNjBkNmMwZjk2Mjg4NjJjNjJkNjhiNWQ1YWFkNDY5MDQwZDMzOWZkNmNhNTgsMSwx"
"Enpal Senior Project Manager","Senior Project Manager","Enpal","95000","2025-10-28","","2025-10-28","rejected","https://www.linkedin.com/jobs/view/4314058035"
"Cint Senior Product Manager","Senior Product Manager","Cint","","2025-06-16","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4247145396/?trackingId=OPJK11XGRzenLZyNb5cakw%3D%3D&refId=DKBxAM5oTV%2BCXGrE9oh%2BEg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=0K-GbXQ7aA4rQ1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mbz5qb0e~pb-null-null&eid=55irmn-mbz5qb0e-pb&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZWU3YmM4ZGNmZDg0MTlhYWU4YTYxNzljMjA1NmI0NzUyNWJmMWYzZGZiMTgxNzViMGI5Yzg1ZTg5ZmFlNjYyMWM5MzNiZDgxMDk5NTFkYzc5NzA2YTlmMWQsMSwx"
"Eucon Digital GmbH Senior Data Analyst","Senior Data Analyst","Eucon Digital GmbH","88000","2026-01-29","","2026-02-20","rejected","https://app.instaffo.com/candidate/job/282b6e72-56c9-446d-a186-84b2465d2e31?chat=1"
"EY Manager","Manager","EY","94000","2025-08-21","","2025-08-26","rejected",""
"Executive Integrity B Corp Technical Project Manager","Technical Project Manager","Executive Integrity B Corp","","2025-05-28","","2025-05-31","rejected","https://www.linkedin.com/jobs/view/4239594414/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=1eGo09RwKLKbM1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mbck8n1u~pv-null-null&eid=55irmn-mbck8n1u-pv&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxNmUwYjU4YWM2ZDA0NDljYWU4YTYxNzljMjA1NmI0NzUyNWJmMWYzZGZiMWI3NDFlYmNjZDU1Yzg5ODQ4ZjJhZDRlYjVkYTdhNGUxNWNiM2E3ODlkZWU1ZGMsMSwx"
"Fichtner (Senior) Consultant - (Senior) Berater Asset Management and Technology","(Senior) Consultant / (Senior) Berater Asset Management and Technology","Fichtner","95000","2025-12-08","","2026-01-08","rejected","https://www.karriere.fichtner.de/stellenportal/senior-consultant-asset-management-technology"
"Enpal Senior Technical Product Manager - Fleet Operations & Monitoring","Senior Technical Product Manager - Fleet Operations & Monitoring","Enpal","","2025-07-23","","2025-08-06","rejected","https://www.linkedin.com/jobs/view/4266566175/?trackingId=qGwo81G%2FRc%2BMDP28nAtVEA%3D%3D&refId=hzzt1893RaWQxS7yXDgkuA%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=3Aj00pmoLkuXU1&trk=eml-email_job_applications_update_digest_01-job_updates-0-job_updates_app_card&trkEmail=eml-email_job_applications_update_digest_01-job_updates-0-job_updates_app_card-null-55irmn~mej5wg90~r7-null-null&eid=55irmn-mej5wg90-r7&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYmUxYjA4YWNkZDc0NTliYWM4ZjYxNzljMjA1NmI0NzUyNWJmMWYzZGZkMmIxNWFjM2RlY2I2MWE1MjRkMmViMjE4N2Y3MjU4NWM4Zjc0OWRjZjZiMjRkM2QsMSwx"
"HCLTech Germany Digital Product Lead","Digital Product Lead","HCLTech","","2025-08-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4268998226"
"Eplan Data Scientist System Architect","Data Scientist/ System Architect (m/w/d) Prototyping","Eplan GmbH","","2026-03-04","","2026-03-23","rejected","https://career.friedhelm-loh-group.com/offer/data-scientist-system-architect-m-w/25621557-e06e-4466-bf02-ee686cd4e70d?showApplicationForm=false"
"HiTHIUM Project Developer","Project Developer","HiTHIUM","","2025-08-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4278308579"
"Hiring Cafe Founding Engineer","Founding Engineer","Hiring Cafe","","2026-02-02","","","waiting","https://docs.google.com/document/d/1hJl0VtyiywYc9DR2Da0iEdtLFYyCVyzEOcVHdXeJASA/edit?tab=t.0"
"IONOS SE Team Lead (w-m-d) - Site Reliability Engineer-GoLang","Team Lead (w/m/d) - Site Reliability Engineer/GoLang","IONOS SE","","2025-05-29","","2025-08-11","rejected",""
"Insurgo Product Manager (remote)","Product Manager","Insurgo GmbH","89000","2026-03-30","","2026-04-08","rejected","https://www.linkedin.com/jobs/view/4391684063/"
"Interv_I Group B Corp Technical Project Manager EV Charging DACH","Technical Project Manager EV Charging DACH","Interv_I Group B Corp","","2025-05-21","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4230592453/?trackingId=YQtKqqRjQJifVmunDcqVRg%3D%3D&refId=wbUJ6Fz9SMKHVzTGNDRDYg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=3MlBBCTO_jvHM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~maxv4ji9~u8-null-null&eid=55irmn-maxv4ji9-u8&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWVmYjY4OGNlZDk0NjlkYWU4ZTYxNzljMjA1NmI0NzUyNWJmMWYzZGY5ZmFiNjRlNmU2ZDQ0NTg3M2U1NTJlM2E4YjI5YzFkMTJmMmM2NjBmMjFhOGM0YzIsMSwx"
"JMC Hotelmarketing Data Analyst","Data Analyst","JMC Hotelmarketing","","2026-02-23","","","waiting","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002558864-S"
"HUBLE Technical Project Manager","Technical Project Manager","HUBLE","108000","2025-06-30","","2025-07-01","rejected","https://docs.google.com/document/d/e/2PACX-1vRqr0DsNd4JzOQmMOamvWX61P7awSr-ip1S6w9MVB3wJYDuHkDKU7ghIy9GP_QA2w/pub?urp=gmail_link"
"Juniz Projektleiter (m-w-d) – Batteriegroßspeicher (BESS)","Projektleiter (m/w/d) – Batteriegroßspeicher (BESS)","Ju:niz","95000","2025-12-09","","2025-12-29","rejected","https://juniz-energy.jobs.personio.com/job/2411872?language=de&display=de"
"Juniz Teamlead (m-w-d) Co-Development & M&A – Energy Storage Projects","Teamlead (m/w/d) Co-Development & M&A – Energy Storage Projects","Ju:niz","95000","2025-12-09","","2026-01-15","rejected","https://juniz-energy.jobs.personio.com/job/2422271?language=de&display=de#apply"
"Europace AG Senior Data Analyst","Senior Data Analyst","Europace AG","90000","2026-03-20","2026-03-26","2026-03-30","rejected","https://www.linkedin.com/jobs/view/4375365288/"
"KPMG Data Solutions Specialist","Data Solutions Specialist","KPMG","","","","","open","https://www.stepstone.de/stellenangebote----12757461-inline.html?CID=R_EM_JaJob_DE_ST_15082025_jobTitle&lang=de&adjust_t=1bgr3y8t_1bzc1r1h&adjust_campaign=JA&offer_position=3"
"Körber Digital Strategic Project & Innovation Manager","Strategic Project & Innovation Manager","Körber Digital","94000","2025-08-19","","2025-09-08","rejected","https://jobs.koerber.com/digital/job/Porto-Strategic-Project-&-Innovation-Manager/1236598301/"
"Lifecycle Experts GmbH MBSE Consultant","MBSE Consultant","Lifecycle Experts GmbH","105000","2025-05-11","","2025-11-05","ghosted",""
"FlyPix.AI Project Manager","Project Manager","FlyPix.AI","","2025-06-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4241855740/?trackingId=Lnq1XTUGRri8opecFzXk6A%3D%3D&refId=h4aryHsFQGq%2BgZvVBSb4iw%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1_RtmIwOmbYHM1&trk=eml-email_job_applications_update_digest_01-job_updates-0-job_updates_app_card&trkEmail=eml-email_job_applications_update_digest_01-job_updates-0-job_updates_app_card-null-55irmn~mbr9d64t~2i-null-null&eid=55irmn-mbr9d64t-2i&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxN2UxYjQ4YmNiZDQ0NTlhYWU4YzYxNzljMjA1NmI0NzUyNWJmMWYzZGY4OGJhNmVjYWQwZDc3M2I5ZGU3YWZjODIzYzllZjE4MjMzNTdjYzUwYTNiN2EyNWQsMSwx"
"MACH AG System Architect","System Architect","MACH AG","","2025-05-13","","2025-05-13","rejected","https://www.linkedin.com/jobs/view/4211419891/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=0lYpzw8iiBorM1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~maqg9kgm~hq-null-null&eid=55irmn-maqg9kgm-hq&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWU0YjM4N2M2ZDc0NTlkYWE4YjYxNzljMjA1NmI0NzUyNWJmMWYzZGY4NmEzNTNlZmYxZmI3YmY4NGYxY2FkYzRiOWRlMTU0MDdkY2UzMGEzMGZjOTRhYjAsMSwx"
"MAM Gruppe Senior Data & Insights Controler","Senior Data & Insights Controler","MAM Gruppe","","2025-08-06","","2025-08-09","rejected","https://www.linkedin.com/jobs/view/4257004064/?trackingId=ZZcer1i%2BRquoZtRCP2XoUw%3D%3D&refId=LvriAKXKTZ%2Brfdd8vDNqPw%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1FgOoXXp_lbXU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdzuy7bu~io-null-null&eid=55irmn-mdzuy7bu-io&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWUzYjM4N2NlZDg0MDk5YWM4YjYxNzljMjA1NmI0NzUyNWJmMWYzZGY5NmEwNDRmMWVhODg0NWFmNWI1MzkzOGVhZTBjNWUwNTI4MzFmMTY2ZTljODNlMzUsMSwx"
"MOIA Technical Product Manager","Technical Product Manager","MOIA","","2026-01-12","","2026-01-19","rejected","https://www.moia.io/en/job/4750770101?locale=en"
"Jobgether Business Analyst Product-Focus","Business Analyst","Jobgether","","2026-04-09","","","waiting","https://www.linkedin.com/jobs/view/4393807111/?trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4393807111&refId=jF9XX1hMSSC7guoMKsJkvw%3D%3D&trackingId=FOhhD3%2B8SKmnGQjVQc0fiA%3D%3D"
"KIGYO Projektentwickler PV & BESS - Remote Germany","Projektentwickler PV & BESS - Remote Germany","KIGYO","","2025-12-05","","2026-03-30","ghosted","https://www.linkedin.com/jobs/view/4325781050"
"Makersite GmbH Engineering Manager","Engineering Manager","Makersite GmbH","90000","2026-02-11","","2026-02-13","rejected","https://makersitegmbh.recruitee.com/o/engineering-manager-mfx"
"Metric Geo Technical Project Lead","Technical Project Lead","Metric Geo","","2025-06-10","","2025-08-13","rejected","https://www.linkedin.com/jobs/view/4248062222/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=1vRWwxanMY0rQ1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mbuzq3d1~xv-null-null&eid=55irmn-mbuzq3d1-xv&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxN2VmYjc4ZmNjZDA0NDk4YTY4ZjYxNzljMjA1NmI0NzUyNWJmMWYzZGZhMmE2NjhjZWRhZmY2NDlkYWNlYTk4Nzk3OWYyN2UxYzIyYmI2YTQ4NWFiZjM3ZjksMSwx"
"M&M Product Owner","Product Owner","M&M Software GmbH","","2026-03-31","","2026-04-10","rejected",""
"Morrow Collective Project Delivery Lead","Project Delivery Lead","Morrow Collective","","2025-08-06","","2026-01-29","ghosted",""
"NOVO Teamleitung Energieberatung & Energieeffizienz Gebäude","Teamleitung Energieberatung & Energieeffizienz Gebäude","NOVO","","2025-12-05","","2025-12-08","rejected","https://www.linkedin.com/jobs/view/4348690542/"
"NTT DATA Senior Data Architect","Senior Data Architect","NTT DATA","90000","2026-04-08","","","waiting","https://www.stepstone.de/stellenangebote--Senior-Data-Architect-w-m-x-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Erfurt-Rosenheim-Berlin-NTT-DATA--13808346-inline.html"
"Nagarro SAP Technical Project Lead","SAP Technical Project Lead","Nagarro","","2025-05-18","","2025-05-22","rejected","https://www.linkedin.com/jobs/view/3966857461/?trackingId=B2SgXoqlRUOcPdUnWNrBBQ%3D%3D&refId=w1rm0rCLRQiDDQ5gCwKqnw%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=29Ep46FdMNrXM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~matw622n~p4-null-null&eid=55irmn-matw622n-p4&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWUyYmM4OWM3ZDg0Mjk5YTY4ZjYxNzljMjA1NmI0NzUyNWJmMWYzZGY4MGU1NmJjMmZkZjA1NDlkYmE4N2YxY2NiNTJhYjkyZGYyNzE5OTYwZjQ1NjFkMGIsMSwx"
"Next Kraftwerke Solution Architect","Solution Architect","Next Kraftwerke","","2025-12-08","","2025-12-16","rejected","https://www.next-kraftwerke.de/jobs"
"Makersite Engineering Manager","Engineering Manager","Makersite GmbH","90000","2026-02-11","","2026-02-13","rejected","https://makersitegmbh.recruitee.com/o/engineering-manager-mfx"
"Nordex Engineering Project Manager","Engineering Project Manager","Nordex","95000","2025-10-28","","2025-11-05","rejected",""
"Nortal Product Owner","Product Owner","Nortal","88000","2026-03-30","2026-04-14","","interviewing","https://careers.nortal.com/de-de/?openJob=5582"
"One Point Four Degrees New Projects Manager (Energy)","New Projects Manager (Energy)","One Point Four Degrees","","2025-12-03","","2026-03-30","ghosted","https://www.linkedin.com/jobs/view/4340746225/"
